"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Autauga County, AL","01001",186,286469,64.93,55.60,74.26
,"Baldwin County, AL","01003",742,1156272,64.17,59.55,68.79
,"Barbour County, AL","01005",76,123826,61.38,48.36,76.82
,"Bibb County, AL","01007",72,111412,64.62,50.57,81.38
,"Blount County, AL","01009",279,292098,95.52,84.31,106.72
,"Bullock County, AL","01011",18,50737,35.48,21.03,56.07
,"Butler County, AL","01013",89,96166,92.55,74.32,113.89
,"Calhoun County, AL","01015",604,573111,105.39,96.98,113.79
,"Chambers County, AL","01017",179,168363,106.32,90.74,121.89
,"Cherokee County, AL","01019",176,128820,136.62,116.44,156.81
,"Chilton County, AL","01021",183,224136,81.65,69.82,93.48
,"Choctaw County, AL","01023",39,62820,62.08,44.15,84.87
,"Clarke County, AL","01025",68,116108,58.57,45.48,74.25
,"Clay County, AL","01027",50,68010,73.52,54.57,96.93
,"Cleburne County, AL","01029",73,75313,96.93,75.98,121.87
,"Coffee County, AL","01031",169,266460,63.42,53.86,72.99
,"Colbert County, AL","01033",274,280921,97.54,85.99,109.09
,"Conecuh County, AL","01035",73,58729,124.30,97.43,156.29
,"Coosa County, AL","01037",62,52644,117.77,90.29,150.98
,"Covington County, AL","01039",175,186091,94.04,80.11,107.97
,"Crenshaw County, AL","01041",72,67385,106.85,83.60,134.56
,"Cullman County, AL","01043",414,431886,95.86,86.62,105.09
,"Dale County, AL","01045",192,245973,78.06,67.02,89.10
,"Dallas County, AL","01047",125,185990,67.21,55.43,78.99
,"DeKalb County, AL","01049",357,358367,99.62,89.28,109.95
,"Elmore County, AL","01051",320,424121,75.45,67.18,83.72
,"Escambia County, AL","01053",133,183027,72.67,60.32,85.02
,"Etowah County, AL","01055",660,513390,128.56,118.75,138.37
,"Fayette County, AL","01057",101,81242,124.32,100.07,148.57
,"Franklin County, AL","01059",180,158177,113.80,97.17,130.42
,"Geneva County, AL","01061",159,132480,120.02,101.36,138.67
,"Greene County, AL","01063",16,39385,40.62,23.22,65.97
,"Hale County, AL","01065",57,73396,77.66,58.82,100.62
,"Henry County, AL","01067",65,86751,74.93,57.83,95.50
,"Houston County, AL","01069",295,532721,55.38,49.06,61.70
,"Jackson County, AL","01071",301,260608,115.50,102.45,128.55
,"Jefferson County, AL","01073",1637,3306444,49.51,47.11,51.91
,"Lamar County, AL","01075",87,68807,126.44,101.27,155.96
,"Lauderdale County, AL","01077",387,468405,82.62,74.39,90.85
,"Lawrence County, AL","01079",164,165042,99.37,84.16,114.58
,"Lee County, AL","01081",425,853305,49.81,45.07,54.54
,"Limestone County, AL","01083",344,515734,66.70,59.65,73.75
,"Lowndes County, AL","01085",31,49083,63.16,42.91,89.65
,"Macon County, AL","01087",47,91813,51.19,37.61,68.07
,"Madison County, AL","01089",853,1917657,44.48,41.50,47.47
,"Marengo County, AL","01091",58,94403,61.44,46.65,79.42
,"Marion County, AL","01093",197,147577,133.49,114.85,152.13
,"Marshall County, AL","01095",509,487524,104.41,95.33,113.48
,"Mobile County, AL","01097",1190,2064167,57.65,54.37,60.93
,"Monroe County, AL","01099",60,101311,59.22,45.19,76.23
,"Montgomery County, AL","01101",517,1130683,45.72,41.78,49.67
,"Morgan County, AL","01103",427,606530,70.40,63.72,77.08
,"Perry County, AL","01105",31,43140,71.86,48.82,102.00
,"Pickens County, AL","01107",92,97159,94.69,76.33,116.13
,"Pike County, AL","01109",103,165423,62.26,50.24,74.29
,"Randolph County, AL","01111",93,112835,82.42,66.52,100.97
,"Russell County, AL","01113",217,291256,74.50,64.59,84.42
,"St. Clair County, AL","01115",382,455621,83.84,75.43,92.25
,"Shelby County, AL","01117",411,1111854,36.97,33.39,40.54
,"Sumter County, AL","01119",30,61360,48.89,32.99,69.80
