FIPS,County_Name,Population,Median_Income,Pct_Poverty,Pct_Uninsured,Pct_Black,Pct_Hispanic,Median_Age,Pct_No_HS,Housing_Pre1940
01001,"Autauga County, Alabama",58761,68315.0,11.37,0.03,19.56,3.17,39.0,0.42,519
01003,"Baldwin County, Alabama",233420,71039.0,10.21,0.19,8.28,4.8,43.7,0.54,2512
01005,"Barbour County, Alabama",24877,39712.0,24.16,0.02,46.88,4.83,40.6,1.15,920
01007,"Bibb County, Alabama",22251,50669.0,20.62,0.0,20.66,2.92,40.3,1.63,700
01009,"Blount County, Alabama",59077,57440.0,14.17,0.17,1.23,9.68,40.8,1.67,1145
01011,"Bullock County, Alabama",10328,36136.0,27.94,0.19,68.91,8.78,39.2,1.94,278
01013,"Butler County, Alabama",18981,44429.0,21.11,0.0,44.58,1.7,41.6,1.76,684
01015,"Calhoun County, Alabama",116162,54339.0,18.04,0.07,21.7,4.08,39.2,0.83,2947
01017,"Chambers County, Alabama",34612,48805.0,17.88,0.14,40.76,3.26,42.2,1.65,1998
01019,"Cherokee County, Alabama",25069,46621.0,14.26,0.01,3.99,1.91,46.8,1.24,536
01021,"Chilton County, Alabama",45140,62471.0,14.45,0.0,9.42,8.12,39.9,2.16,1076
01023,"Choctaw County, Alabama",12669,43299.0,19.14,0.0,39.9,1.13,46.7,1.27,231
01025,"Clarke County, Alabama",23058,47549.0,22.36,0.03,45.45,1.45,42.7,1.8,537
01027,"Clay County, Alabama",14209,48074.0,17.57,0.0,12.6,3.08,43.9,0.86,674
01029,"Cleburne County, Alabama",15144,51553.0,12.89,0.05,2.71,2.65,42.2,0.38,328
01031,"Coffee County, Alabama",53559,62199.0,16.3,0.15,16.05,8.4,39.2,1.23,959
01033,"Colbert County, Alabama",57270,56149.0,15.88,0.03,16.01,3.21,42.0,0.9,1991
01035,"Conecuh County, Alabama",11576,39888.0,18.43,0.0,47.97,0.69,46.2,0.62,350
01037,"Coosa County, Alabama",10329,52279.0,11.05,0.11,30.21,2.75,50.2,0.91,507
01039,"Covington County, Alabama",37542,48772.0,18.78,0.43,12.27,2.0,42.9,1.0,1079
01041,"Crenshaw County, Alabama",13205,48557.0,14.86,0.33,22.92,2.54,42.3,1.92,384
01043,"Cullman County, Alabama",88284,58119.0,13.03,0.16,1.09,4.59,41.4,0.72,2540
01045,"Dale County, Alabama",49455,52813.0,17.52,0.11,20.4,7.01,37.7,1.08,901
01047,"Dallas County, Alabama",38326,37180.0,27.08,0.0,68.65,1.12,40.4,0.91,1852
01049,"DeKalb County, Alabama",71680,47920.0,20.22,0.27,1.46,15.38,39.6,2.8,1678
01051,"Elmore County, Alabama",87694,73258.0,9.6,0.06,20.78,3.12,38.9,0.71,651
01053,"Escambia County, Alabama",36755,41153.0,21.81,0.17,30.24,2.56,40.5,0.6,474
01055,"Etowah County, Alabama",103348,52177.0,15.87,0.06,15.0,4.41,41.9,0.92,3293
01057,"Fayette County, Alabama",16297,45650.0,22.18,0.13,12.73,0.37,43.7,1.66,623
01059,"Franklin County, Alabama",32011,47359.0,16.62,0.39,4.25,18.41,39.3,1.14,626
01061,"Geneva County, Alabama",26647,47608.0,20.83,0.09,8.92,4.45,43.6,1.06,727
01063,"Greene County, Alabama",7706,32796.0,32.9,0.06,81.82,0.31,41.1,0.74,251
01065,"Hale County, Alabama",14742,35851.0,25.01,0.04,56.8,0.17,40.5,1.14,375
01067,"Henry County, Alabama",17282,58395.0,15.52,0.0,25.14,2.71,44.6,1.06,551
01069,"Houston County, Alabama",107040,55064.0,17.84,0.08,27.12,3.59,40.4,0.84,1488
01071,"Jackson County, Alabama",52618,46748.0,18.61,0.09,3.25,3.2,43.0,1.62,1790
01073,"Jefferson County, Alabama",672265,63595.0,15.87,0.11,42.61,4.16,37.9,0.72,29245
01075,"Lamar County, Alabama",13885,49565.0,15.34,0.0,11.0,0.55,44.2,1.06,479
01077,"Lauderdale County, Alabama",94329,56081.0,13.26,0.11,9.75,2.97,40.8,0.55,2286
01079,"Lawrence County, Alabama",33116,54786.0,15.83,0.14,10.16,2.5,42.7,1.39,368
01081,"Lee County, Alabama",175126,59288.0,18.5,0.19,22.06,3.87,33.0,0.73,1322
01083,"Limestone County, Alabama",104199,80146.0,11.19,0.12,13.0,6.32,40.2,1.24,1246
01085,"Lowndes County, Alabama",10153,33125.0,25.53,0.19,74.81,0.19,41.7,0.7,141
01087,"Macon County, Alabama",19198,41206.0,25.01,0.07,78.81,2.36,37.8,0.99,453
01089,"Madison County, Alabama",389781,78058.0,10.69,0.11,24.27,5.29,38.5,0.53,3561
01091,"Marengo County, Alabama",19180,42975.0,21.45,0.0,50.83,2.83,41.7,0.74,736
01093,"Marion County, Alabama",29203,49743.0,16.45,0.02,3.81,2.71,44.0,0.98,500
01095,"Marshall County, Alabama",97923,58272.0,16.6,0.15,2.73,15.06,38.8,1.54,1486
01097,"Mobile County, Alabama",413878,55352.0,17.57,0.06,36.01,3.04,38.2,0.73,7055
01099,"Monroe County, Alabama",19816,39965.0,22.86,0.0,42.31,0.22,43.7,0.98,387
01101,"Montgomery County, Alabama",228132,56707.0,19.56,0.2,58.89,3.77,36.9,0.81,6429
01103,"Morgan County, Alabama",123102,61588.0,13.72,0.16,12.9,8.81,40.6,1.76,1730
01105,"Perry County, Alabama",8479,32332.0,32.83,0.0,70.09,0.97,41.8,0.71,228
01107,"Pickens County, Alabama",18925,45339.0,22.33,0.02,39.19,5.22,42.9,2.21,410
01109,"Pike County, Alabama",32997,42616.0,23.64,0.09,37.22,2.42,31.1,0.69,924
01111,"Randolph County, Alabama",22179,49879.0,19.86,0.09,18.95,3.02,44.1,1.24,969
01113,"Russell County, Alabama",58849,47420.0,22.03,0.0,44.47,5.86,37.2,1.21,1262
01115,"St. Clair County, Alabama",91719,73218.0,10.92,0.05,9.64,2.53,41.0,0.96,689
01117,"Shelby County, Alabama",223916,90618.0,6.85,0.08,12.98,5.89,40.0,0.5,1170
01119,"Sumter County, Alabama",12196,31726.0,30.37,0.16,72.26,0.7,35.8,0.34,199
01121,"Talladega County, Alabama",81105,52457.0,18.69,0.17,31.8,2.46,42.1,1.21,2494
01123,"Tallapoosa County, Alabama",41251,53282.0,16.84,0.0,26.49,2.45,45.2,1.35,1387
01125,"Tuscaloosa County, Alabama",231558,61645.0,16.69,0.04,31.98,4.0,32.8,0.61,3299
01127,"Walker County, Alabama",64978,52987.0,16.41,0.4,5.99,2.87,41.8,0.95,1848
01129,"Washington County, Alabama",15434,51184.0,15.8,0.05,23.37,1.69,43.7,0.23,107
01131,"Wilcox County, Alabama",10441,38208.0,26.76,0.02,70.18,0.21,41.1,1.93,230
01133,"Winston County, Alabama",23655,49494.0,18.2,0.28,1.11,3.25,45.4,1.12,379
02013,"Aleutians East Borough, Alaska",3407,79961.0,12.64,0.91,5.05,11.89,41.6,2.79,67
02016,"Aleutians West Census Area, Alaska",5219,100662.0,9.58,0.13,3.85,15.37,39.2,2.03,33
02020,"Anchorage Municipality, Alaska",290674,95731.0,9.64,0.32,5.09,9.69,34.5,0.68,741
02050,"Bethel Census Area, Alaska",18538,64094.0,25.26,0.31,1.15,2.15,28.7,0.18,25
02060,"Bristol Bay Borough, Alaska",854,94167.0,7.89,0.0,0.35,8.67,36.4,0.82,34
02063,"Chugach Census Area, Alaska",7000,83068.0,4.93,0.73,1.61,5.91,37.8,0.83,104
02066,"Copper River Census Area, Alaska",2614,70606.0,11.25,0.23,0.04,6.54,43.1,0.38,106
02068,"Denali Borough, Alaska",2101,87292.0,7.31,0.0,2.28,1.67,44.4,0.71,25
02070,"Dillingham Census Area, Alaska",4854,69412.0,15.89,0.45,1.57,3.34,30.7,0.41,24
