,,,,
data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov
"Selected Filters: 2022 / M.D., All M.D. (County Level File) / Population, All (County Level File)",,,,
State/Territory,"M.D., All M.D. (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
Alabama,14276,5074296,281.34,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Alaska,2230,733583,303.99,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Arizona,22278,7359197,302.72,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Arkansas,8668,3045637,284.60,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
California,150883,39029342,386.59,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Colorado,21334,5839926,365.31,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Connecticut,17910,3626205,493.90,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Delaware,3272,1018396,321.29,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
District of Columbia,7283,671803,1084.10,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Florida,79805,22244823,358.76,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Georgia,32464,10912876,297.48,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Guam,219,169086,129.52,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Hawaii,5932,1440196,411.89,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Idaho,4116,1939033,212.27,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Illinois,49489,12582032,393.33,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Indiana,19048,6833037,278.76,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Iowa,8132,3200517,254.08,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Kansas,9167,2937150,312.11,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Kentucky,13371,4512310,296.32,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Louisiana,17173,4590241,374.12,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Maine,5296,1385340,382.29,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Maryland,32312,6164660,524.15,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Massachusetts,43950,6981974,629.48,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Michigan,36340,10034113,362.16,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Minnesota,23456,5717184,410.27,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Mississippi,7337,2940057,249.55,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Missouri,20828,6177957,337.13,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Montana,3541,1122867,315.35,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Nebraska,6507,1967923,330.65,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Nevada,8055,3177772,253.48,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
New Hampshire,5636,1395231,403.95,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
New Jersey,36354,9261699,392.52,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
New Mexico,7148,2113344,338.23,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
New York,104634,19677151,531.75,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
North Carolina,36359,10698973,339.84,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
North Dakota,2384,779261,305.93,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Ohio,44341,11756058,377.18,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Oklahoma,8764,4019800,218.02,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Oregon,16941,4240137,399.54,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Pennsylvania,53596,12972008,413.17,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Puerto Rico,13001,3221789,403.53,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Rhode Island,5697,1093734,520.88,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
South Carolina,16213,5282634,306.91,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
South Dakota,2798,909824,307.53,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Tennessee,23286,7051339,330.24,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Texas,85740,30029572,285.52,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
U.S. Virgin Islands,203,,,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Utah,9330,3380800,275.97,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Vermont,3523,647064,544.46,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Virginia,31276,8683619,360.17,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Washington,28475,7785786,365.73,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
West Virginia,5910,1775156,332.93,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Wisconsin,20858,5892539,353.97,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
Wyoming,1469,581381,252.67,AMA Physician Professional Data 2022; Census County Pop. Estimates 2022
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
